strain,date,region,country,division,location,region_exposure,country_exposure,division_exposure,host,Nextstrain_clade,pango_lineage,clade_nextstrain,clade_who,Nextclade_pango,originating_lab,submitting_lab
USA/WA-S17105/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17106/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17107/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.20,21K,Omicron,BA.1.20,Seattle Flu Study,Seattle Flu Study
USA/WA-S17108/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17109/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17115/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17116/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17117/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17118/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17119/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17120/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17121/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17122/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17123/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17124/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17125/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17126/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17127/2022,2022-01-09,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17128/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17130/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17134/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17135/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17140/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17142/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17.2,21K,Omicron,BA.1.17.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17144/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17149/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17150/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17152/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17153/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17154/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17155/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17157/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17158/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17.2,21K,Omicron,BA.1.17.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17159/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17161/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17.2,21K,Omicron,BA.1.17.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17162/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.18,21K,Omicron,BA.1.1.18,Seattle Flu Study,Seattle Flu Study
USA/WA-S17167/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17171/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17174/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17177/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17178/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17179/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17180/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17182/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17183/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17185/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17186/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17193/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.18,Seattle Flu Study,Seattle Flu Study
USA/WA-S17194/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17195/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17196/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.18,21K,Omicron,BA.1.1.18,Seattle Flu Study,Seattle Flu Study
USA/WA-S17197/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17198/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17199/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S172/2020,2020-03-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,19B,A.1,19B,,A.1,Washington State Department of Health,Seattle Flu Study
USA/WA-S17200/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17201/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17203/2022,2022-01-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17204/2022,2022-01-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17205/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17207/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17208/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17210/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17.2,21K,Omicron,BA.1.17.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17212/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.18,21K,Omicron,BA.1.1.18,Seattle Flu Study,Seattle Flu Study
USA/WA-S17213/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17214/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17215/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17216/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17217/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17218/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.20,21K,Omicron,BA.1.20,Seattle Flu Study,Seattle Flu Study
USA/WA-S17219/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17221/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17222/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17224/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17225/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17226/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17228/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17229/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17230/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17231/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17232/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17233/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17234/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17235/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17236/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17237/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.2,21K,Omicron,BA.1.1.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17238/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17239/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17240/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17241/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17242/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17245/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17246/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.14,21K,Omicron,BA.1.1.14,Seattle Flu Study,Seattle Flu Study
USA/WA-S17247/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17248/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17249/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17250/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17251/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17252/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17253/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17254/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17255/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17256/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17257/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17258/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17259/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17260/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17261/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.2,21K,Omicron,BA.1.1.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17262/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17263/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17264/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1.16,Seattle Flu Study,Seattle Flu Study
USA/WA-S17265/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17266/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17269/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17270/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17272/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17273/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17274/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.18,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17275/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17276/2022,2022-01-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1.14,21K,Omicron,BA.1.1.14,Seattle Flu Study,Seattle Flu Study
USA/WA-S17278/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17279/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17280/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17281/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17282/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17283/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17284/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
USA/WA-S17285/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17286/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17287/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17288/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17289/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17290/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17,21K,Omicron,BA.1.17,Seattle Flu Study,Seattle Flu Study
USA/WA-S17291/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17292/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17293/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17294/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.17.2,21K,Omicron,BA.1.17.2,Seattle Flu Study,Seattle Flu Study
USA/WA-S17295/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17296/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17297/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Seattle Flu Study,Seattle Flu Study
USA/WA-S17298/2022,2022-01-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Seattle Flu Study,Seattle Flu Study
